64 10000 64 100000 100000000 0.250000 0.150000 1.145000
n M absM M2 M4
92 -3.560468e+00 1.215132e+01 2.230454e+02 1.281566e+05
93 1.825704e+00 9.641518e+00 1.569787e+02 7.944194e+04
94 9.319838e+00 1.419027e+01 2.551409e+02 1.093499e+05
95 -1.846771e+01 1.854959e+01 4.355362e+02 3.242527e+05
96 2.566465e+00 6.971312e+00 7.755348e+01 1.931834e+04
97 -3.231835e+00 1.084900e+01 1.680026e+02 6.003670e+04
98 1.993792e+00 1.634118e+01 3.444385e+02 2.099859e+05
99 4.763116e+00 1.334879e+01 2.773165e+02 1.979006e+05
100 8.547979e+00 1.406570e+01 2.658041e+02 1.331923e+05
101 -7.042940e+00 1.383104e+01 2.676080e+02 1.980217e+05
102 -1.518375e+00 8.460572e+00 1.027126e+02 2.406377e+04
103 -4.612230e+00 1.099187e+01 1.861564e+02 1.048446e+05
104 -8.739958e+00 1.715421e+01 4.374267e+02 4.453756e+05
105 -6.947725e+00 9.306948e+00 1.496970e+02 8.545922e+04
106 -5.076373e+00 1.118344e+01 1.835402e+02 8.302550e+04
107 -1.453589e+01 1.473638e+01 2.825789e+02 1.442365e+05
108 -1.073376e+01 1.221305e+01 2.051030e+02 8.146304e+04
109 6.654923e+00 1.146073e+01 2.074324e+02 1.199801e+05
110 -1.456489e+01 1.676146e+01 4.045550e+02 3.461429e+05
111 -1.299313e+00 1.223033e+01 2.072935e+02 9.196869e+04
112 -1.218294e+01 1.507588e+01 3.263400e+02 2.409957e+05
113 -9.886470e+00 1.300830e+01 2.894428e+02 2.546642e+05
114 1.417569e+01 1.737693e+01 4.347372e+02 4.479984e+05
115 6.991628e+00 1.154995e+01 1.797141e+02 6.770172e+04
116 8.839891e+00 9.909484e+00 1.567097e+02 6.432135e+04
117 -6.222433e+00 1.367295e+01 2.709881e+02 1.685426e+05
118 -6.218586e+00 1.195338e+01 2.248380e+02 1.346561e+05
119 1.989204e+00 1.192990e+01 1.911652e+02 6.951388e+04
120 -1.423687e+01 1.672546e+01 3.859491e+02 2.885955e+05
121 -3.218010e+00 1.543696e+01 3.054191e+02 1.670876e+05
122 4.930576e+00 1.144182e+01 2.048800e+02 1.088575e+05
123 -1.866421e+00 9.112382e+00 1.435160e+02 6.813650e+04
124 -8.112102e+00 1.024024e+01 1.393356e+02 3.898198e+04
125 1.050949e+01 1.782515e+01 4.383492e+02 3.564107e+05
126 -1.518722e+01 1.544692e+01 3.414779e+02 2.672043e+05
127 -9.161335e+00 1.023227e+01 1.576090e+02 6.092657e+04
128 6.075691e+00 8.690430e+00 1.179738e+02 3.889995e+04
129 -4.127900e+00 1.300364e+01 2.306269e+02 1.069907e+05
130 1.159370e+01 1.558503e+01 3.264632e+02 2.087675e+05
131 -5.206170e+00 1.234637e+01 2.082544e+02 8.453478e+04
132 1.064169e+01 1.134460e+01 1.827121e+02 6.741670e+04
133 -3.912741e+00 1.239379e+01 2.086316e+02 9.681962e+04
134 -1.338276e+00 1.265582e+01 2.470027e+02 1.619994e+05
135 7.946608e+00 1.014071e+01 1.845963e+02 1.079123e+05
136 -3.183022e+00 9.727814e+00 1.409805e+02 4.745564e+04
137 4.436522e+00 1.343782e+01 2.425219e+02 1.197537e+05
138 -2.022480e+00 1.262202e+01 2.107412e+02 8.590887e+04
139 9.623163e+00 1.501218e+01 2.928622e+02 1.832577e+05
140 -2.029415e+00 1.108638e+01 1.886056e+02 8.447805e+04
141 1.844695e+01 1.927784e+01 4.271900e+02 2.760507e+05
142 3.628620e+00 1.354065e+01 2.956479e+02 2.534021e+05
143 1.422359e+01 1.581030e+01 3.608856e+02 2.765056e+05
144 1.621656e+01 1.628730e+01 3.619013e+02 2.461925e+05
145 -2.353086e+00 1.246150e+01 1.989467e+02 7.369238e+04
146 9.140614e+00 9.822823e+00 1.567442e+02 6.394765e+04
147 -2.008038e+01 2.008038e+01 4.383063e+02 2.521416e+05
148 5.525721e+00 9.486968e+00 1.314612e+02 3.893997e+04
149 -8.234935e+00 9.287641e+00 1.126665e+02 2.261203e+04
150 -1.333456e+01 1.387081e+01 2.690464e+02 1.454626e+05
151 -1.290530e+01 1.371277e+01 2.468589e+02 1.086426e+05
152 -9.960758e-01 9.098760e+00 1.245215e+02 3.878210e+04
153 -5.493185e+00 1.447279e+01 2.660927e+02 1.147384e+05
154 -1.085453e+01 1.628701e+01 4.240012e+02 4.656790e+05
155 4.188383e+00 8.725167e+00 1.232258e+02 4.044450e+04
156 -1.834143e+00 8.703432e+00 1.148018e+02 3.424328e+04
157 3.117783e+00 8.942730e+00 1.452534e+02 7.323594e+04
158 2.209391e+01 2.230919e+01 6.125665e+02 6.025825e+05
159 4.659956e+00 1.321678e+01 2.317552e+02 1.013350e+05
160 5.773377e+00 9.988700e+00 1.507968e+02 6.005608e+04
161 -5.842137e+00 8.322388e+00 1.125720e+02 3.511358e+04
162 -9.327830e+00 1.283391e+01 2.269654e+02 1.142869e+05
163 -1.194034e+01 1.354117e+01 2.371151e+02 9.716239e+04
164 6.580821e+00 1.230454e+01 1.950101e+02 6.692970e+04
165 -7.759599e+00 9.895847e+00 1.419026e+02 4.398888e+04
166 -1.464964e+01 1.696929e+01 4.258499e+02 3.988766e+05
167 8.142792e+00 9.143571e+00 1.223273e+02 3.662292e+04
168 9.180370e+00 1.114115e+01 1.843351e+02 8.309431e+04
169 2.496839e+00 1.183950e+01 1.993844e+02 9.453378e+04
170 2.535940e+00 1.239362e+01 1.999191e+02 7.175312e+04
171 2.036493e+00 9.078669e+00 1.210228e+02 3.532363e+04
172 -2.141468e-01 1.231254e+01 2.486767e+02 1.888449e+05
173 -3.659795e+00 9.092806e+00 1.291001e+02 4.665350e+04
174 -8.887790e+00 1.315109e+01 2.326646e+02 1.074038e+05
175 3.565136e+00 9.668955e+00 1.433380e+02 5.169825e+04
176 -1.154105e+00 1.622296e+01 3.682998e+02 2.652502e+05
177 -7.652414e-01 9.241264e+00 1.437874e+02 6.955026e+04
178 6.397474e+00 9.244346e+00 1.359946e+02 5.278024e+04
179 -1.068369e+01 1.289822e+01 2.292852e+02 1.204719e+05
180 -2.260536e+00 1.602342e+01 3.194661e+02 1.778765e+05
181 -2.465773e+00 6.747275e+00 7.404750e+01 1.957298e+04
182 -4.991648e+00 8.916314e+00 1.154381e+02 2.943266e+04
183 1.780932e+00 8.469115e+00 1.003415e+02 2.142471e+04
184 4.991422e+00 1.247781e+01 2.131764e+02 9.050724e+04
185 -5.564414e+00 8.367061e+00 1.109459e+02 3.519816e+04
186 8.871486e+00 1.192363e+01 2.159025e+02 1.243128e+05
187 1.349015e+01 1.464084e+01 2.521412e+02 9.831739e+04
188 -7.357820e+00 9.055237e+00 1.225624e+02 3.906167e+04
189 1.042949e+01 1.230560e+01 2.322074e+02 1.354486e+05
190 9.951061e+00 1.142694e+01 2.245038e+02 1.434558e+05
191 -2.155738e+01 2.165675e+01 5.887366e+02 6.144186e+05
192 6.746691e+00 1.024327e+01 1.679759e+02 7.636164e+04
193 9.153531e+00 1.197971e+01 1.964568e+02 7.483173e+04
194 -4.739394e+00 1.014661e+01 1.463385e+02 4.672482e+04
195 -1.421611e+00 7.548520e+00 8.809899e+01 2.138500e+04
196 1.049318e+01 1.713113e+01 3.779858e+02 2.655834e+05
197 -8.098331e+00 1.099768e+01 1.714556e+02 6.968705e+04
198 3.015731e+00 1.216501e+01 2.374514e+02 1.683563e+05
199 -9.424827e+00 1.139374e+01 1.898528e+02 7.983290e+04
200 2.508969e+00 1.308428e+01 2.675861e+02 1.951461e+05
201 1.864232e+01 1.867370e+01 4.375031e+02 3.430098e+05
202 -1.584031e+01 1.843775e+01 4.813100e+02 4.804843e+05
203 3.656677e+00 9.012801e+00 1.264099e+02 4.062430e+04
204 -1.092693e+01 1.372382e+01 2.534391e+02 1.324944e+05
205 -4.671176e+00 1.175514e+01 2.153550e+02 1.466086e+05
206 8.517202e-01 1.257210e+01 2.117395e+02 8.508316e+04
207 9.179172e+00 1.143187e+01 1.805356e+02 8.319507e+04
208 6.713141e+00 1.236284e+01 2.292584e+02 1.282682e+05
209 6.423674e-02 1.113921e+01 1.577078e+02 4.283035e+04
210 -9.713540e+00 1.398051e+01 3.198690e+02 2.853082e+05
211 -2.132274e+01 2.132274e+01 5.112202e+02 3.729568e+05
212 -6.649139e+00 1.350623e+01 2.382001e+02 1.033860e+05
213 -2.527715e+00 8.791958e+00 1.050598e+02 2.261135e+04
214 2.903355e+00 9.554085e+00 1.192401e+02 2.620054e+04
215 -1.340545e+01 1.443710e+01 2.831178e+02 1.638392e+05
216 8.343425e+00 1.475293e+01 3.000681e+02 1.870070e+05
217 -1.971744e+00 1.059496e+01 1.605479e+02 5.898667e+04
218 4.885579e+00 1.164609e+01 2.028561e+02 1.113762e+05
219 9.606719e+00 1.739132e+01 4.554582e+02 4.929170e+05
220 2.442338e+00 1.145129e+01 1.880018e+02 7.093427e+04
221 -2.602697e+00 1.471706e+01 3.025881e+02 2.049608e+05
222 -3.103079e+00 8.772371e+00 1.523578e+02 1.004601e+05
223 8.887929e+00 1.591489e+01 3.748931e+02 3.148435e+05
224 2.190144e+01 2.200266e+01 5.787000e+02 5.126839e+05
225 8.341093e+00 1.239464e+01 2.301364e+02 1.238708e+05
226 -1.072657e+01 1.170982e+01 1.898239e+02 8.285420e+04
227 -7.023708e+00 1.297441e+01 2.614231e+02 1.940550e+05
228 -8.344308e+00 1.118151e+01 1.979934e+02 1.125735e+05
229 -5.296622e+00 1.161100e+01 1.963394e+02 8.139055e+04
230 1.298487e+01 1.487136e+01 3.036695e+02 1.704845e+05
231 1.411245e+00 1.094675e+01 1.931994e+02 1.092577e+05
232 -1.048809e+01 1.392355e+01 2.766164e+02 1.615543e+05
233 3.725436e+00 1.080644e+01 1.629054e+02 5.905041e+04
234 8.123662e+00 1.118567e+01 1.961665e+02 9.954089e+04
235 -9.829753e+00 1.227543e+01 2.129287e+02 9.224307e+04
236 -9.576968e-01 1.135811e+01 1.933834e+02 9.157606e+04
237 -2.325633e+00 8.129084e+00 1.061679e+02 3.070557e+04
238 -7.087318e+00 2.247296e+01 6.506410e+02 8.031115e+05
239 5.320534e+00 1.095896e+01 1.604581e+02 5.766112e+04
240 -3.341838e-01 7.316366e+00 8.886263e+01 2.249549e+04
241 3.024010e+00 1.062814e+01 1.767114e+02 7.798998e+04
242 -1.139412e+01 1.366863e+01 2.714063e+02 1.602342e+05
243 -8.515727e+00 1.620641e+01 3.910482e+02 3.360972e+05
244 4.047755e+00 1.387959e+01 2.667239e+02 1.499311e+05
245 -4.703398e-01 1.397055e+01 2.369520e+02 9.322488e+04
246 7.689609e+00 1.336845e+01 2.880595e+02 2.475405e+05
247 4.279602e+00 1.832636e+01 4.046836e+02 2.624415e+05
248 -9.362270e+00 1.361950e+01 2.449966e+02 1.100969e+05
249 1.256826e+00 8.330097e+00 1.002946e+02 2.356632e+04
250 -5.740895e+00 1.263953e+01 2.358929e+02 1.281883e+05
251 -3.233293e+00 1.173916e+01 2.182539e+02 1.265435e+05
252 -2.806650e+00 1.007884e+01 1.547049e+02 5.757713e+04
253 -1.068213e+01 1.635317e+01 3.938003e+02 3.327150e+05
254 6.522836e+00 1.051926e+01 1.777966e+02 9.355230e+04
255 -8.315035e+00 9.993872e+00 1.582370e+02 6.880840e+04
256 1.393475e-01 1.004310e+01 1.636916e+02 7.918102e+04
257 -3.144980e+00 8.624771e+00 1.222129e+02 4.800385e+04
258 -2.655818e+00 1.023841e+01 1.517118e+02 5.861916e+04
259 5.112871e+00 1.492871e+01 3.614689e+02 3.816185e+05
260 1.096340e+01 1.354570e+01 2.726163e+02 1.735120e+05
261 -2.809347e+00 1.054837e+01 1.730837e+02 9.022959e+04
262 9.644950e+00 1.177859e+01 1.952995e+02 8.055239e+04
263 1.001331e+01 1.485311e+01 2.867547e+02 1.531752e+05
264 2.725831e+00 8.962304e+00 1.145087e+02 2.874110e+04
265 2.215379e+00 8.678727e+00 1.150095e+02 3.700712e+04
266 -7.544160e+00 9.291335e+00 1.222778e+02 3.248685e+04
267 1.530603e+00 7.345652e+00 8.750856e+01 2.539158e+04
268 -3.806387e-01 9.063132e+00 1.171588e+02 2.807878e+04
269 9.030664e+00 1.184391e+01 1.994179e+02 8.117805e+04
270 -7.450366e+00 1.169824e+01 1.965284e+02 9.479092e+04
271 -8.926819e+00 1.314130e+01 2.315161e+02 1.016893e+05
272 -6.400236e-01 9.874179e+00 1.502483e+02 5.323156e+04
273 1.042841e+01 1.219523e+01 2.213787e+02 1.050882e+05
274 -1.197831e+01 1.401231e+01 2.856132e+02 1.867009e+05
275 9.359288e-01 1.260590e+01 2.400943e+02 1.431730e+05
276 -4.829969e+00 1.062966e+01 1.776624e+02 9.790333e+04
277 -9.760756e+00 1.134152e+01 1.857970e+02 6.851572e+04
278 -3.307467e+00 1.024452e+01 1.573024e+02 6.519754e+04
279 1.010986e+01 1.159289e+01 1.906831e+02 8.339808e+04
280 6.031773e+00 8.925701e+00 1.179768e+02 3.423778e+04
281 -1.834881e+01 1.861270e+01 3.951382e+02 2.194017e+05
282 5.410952e+00 1.597094e+01 3.429343e+02 2.253821e+05
283 1.054062e+00 1.314906e+01 2.513116e+02 1.351752e+05
284 -1.622292e+01 1.707860e+01 3.657055e+02 2.255658e+05
285 -1.379972e+01 1.532271e+01 3.214305e+02 2.085005e+05
286 4.949748e+00 9.371573e+00 1.263857e+02 3.408102e+04
287 -1.089114e+01 1.267874e+01 2.602480e+02 2.019526e+05
288 -2.991843e+00 7.490207e+00 9.937530e+01 3.366684e+04
289 -9.076363e+00 1.823972e+01 4.046774e+02 2.487089e+05
290 2.907812e-01 9.753640e+00 1.372964e+02 4.264146e+04
291 -2.382754e+00 9.246737e+00 1.170944e+02 3.142107e+04
292 6.152717e+00 1.164137e+01 2.110016e+02 1.047378e+05
293 -5.069308e+00 1.554489e+01 3.318351e+02 2.338587e+05
294 -6.154084e+00 1.200898e+01 2.030512e+02 8.860010e+04
295 -1.710959e+01 1.985809e+01 4.815192e+02 3.644536e+05
296 -2.563622e+00 1.254948e+01 2.028121e+02 7.270445e+04
297 3.532939e+00 8.225800e+00 1.035793e+02 2.824972e+04
298 -1.026516e+01 1.414327e+01 3.035185e+02 2.219465e+05
299 -4.963936e+00 1.356800e+01 2.748802e+02 1.724235e+05
300 1.064522e+01 1.226757e+01 2.100480e+02 9.531763e+04
301 -1.193315e+01 1.289195e+01 2.541502e+02 1.553815e+05
302 -4.592987e+00 9.296104e+00 1.331564e+02 4.761139e+04
303 -1.022237e+00 7.329261e+00 8.442232e+01 2.014124e+04
304 7.765943e+00 1.042821e+01 1.443534e+02 4.010644e+04
305 -1.875274e+01 2.017959e+01 4.868543e+02 3.591019e+05
306 5.722671e+00 1.446925e+01 2.976345e+02 1.835625e+05
307 1.608109e+00 1.098257e+01 1.617809e+02 5.070168e+04
308 6.742651e+00 9.587187e+00 1.352170e+02 4.014180e+04
309 -6.911986e+00 1.313143e+01 2.250941e+02 9.923825e+04
310 7.920381e+00 9.666129e+00 1.314212e+02 3.981751e+04
311 -6.950680e+00 1.497205e+01 3.384604e+02 2.922524e+05
312 5.991119e+00 9.303610e+00 1.567255e+02 9.127154e+04
313 -7.668089e+00 9.937653e+00 1.398615e+02 4.596464e+04
314 -6.596357e+00 1.255179e+01 2.226665e+02 1.032780e+05
315 6.389404e+00 1.754568e+01 3.938014e+02 2.803970e+05
316 4.578510e+00 1.186559e+01 2.050038e+02 8.978168e+04
317 -9.673292e+00 1.248806e+01 2.389293e+02 1.408630e+05
318 1.394675e-01 9.437217e+00 1.278329e+02 3.680875e+04
319 -6.804468e+00 1.244910e+01 2.288238e+02 1.304460e+05
320 -9.957665e+00 1.467825e+01 2.961898e+02 1.722704e+05
321 -2.725953e+00 1.218898e+01 1.995829e+02 7.760630e+04
322 -3.647650e+00 1.044011e+01 1.397626e+02 3.711227e+04
323 -1.490555e+01 1.508976e+01 2.892286e+02 1.552418e+05
324 -1.194249e+01 1.298344e+01 2.469674e+02 1.514807e+05
325 2.825595e+00 1.230200e+01 1.946070e+02 7.060483e+04
326 6.410673e+00 1.441791e+01 2.894794e+02 1.704608e+05
327 -2.259439e+00 9.712199e+00 1.553991e+02 6.460932e+04
328 9.393518e+00 1.156628e+01 2.075145e+02 1.054786e+05
329 -6.429250e+00 1.017513e+01 1.847222e+02 1.224332e+05
330 1.346444e+01 1.599491e+01 3.909957e+02 3.831539e+05
331 -4.468303e+00 7.335204e+00 1.026441e+02 5.058886e+04
332 1.035843e+01 1.284715e+01 2.314049e+02 1.105372e+05
333 -5.221212e+00 1.206115e+01 2.127432e+02 1.045103e+05
334 -4.489801e+00 1.014142e+01 1.529646e+02 5.993493e+04
335 9.256106e+00 1.172871e+01 2.067604e+02 9.179533e+04
336 -6.297233e+00 1.225745e+01 2.122836e+02 1.018057e+05
337 8.562442e+00 1.087127e+01 1.676612e+02 5.940710e+04
338 1.772908e+01 1.775495e+01 3.978093e+02 2.805364e+05
339 -9.018661e+00 1.404493e+01 2.534550e+02 1.090148e+05
340 -1.137330e+01 1.934310e+01 4.862519e+02 4.397446e+05
341 5.401389e+00 1.401301e+01 2.468875e+02 1.043112e+05
342 -1.614175e+01 1.617898e+01 3.240763e+02 1.790992e+05
343 -1.883881e+01 1.906720e+01 4.337893e+02 3.014320e+05
344 -1.119689e+01 1.767955e+01 4.714088e+02 5.146011e+05
345 -1.440263e+01 1.486096e+01 2.951710e+02 1.531649e+05
346 -1.345665e+01 1.370855e+01 2.580583e+02 1.274496e+05
347 9.286360e+00 1.057409e+01 1.749610e+02 7.685313e+04
348 5.458345e+00 1.006270e+01 1.384584e+02 3.862186e+04
349 -5.101847e+00 1.195566e+01 1.865605e+02 6.694084e+04
350 1.008255e+01 1.749165e+01 4.142196e+02 3.236792e+05
351 7.270242e+00 9.148423e+00 1.286468e+02 3.997170e+04
352 8.073763e+00 1.054965e+01 1.522225e+02 4.924193e+04
353 1.072348e+01 1.353020e+01 2.842922e+02 2.161659e+05
354 2.739210e+00 9.067914e+00 1.301444e+02 4.485353e+04
355 -1.449487e+01 1.611895e+01 3.593076e+02 2.609087e+05
356 2.038185e+00 9.290067e+00 1.476586e+02 7.431437e+04
357 5.776992e+00 1.127684e+01 1.704032e+02 6.027672e+04
358 -8.101008e+00 1.033995e+01 1.518164e+02 4.985447e+04
359 -1.666594e+01 1.667561e+01 3.363113e+02 1.952537e+05
360 -4.010969e+00 1.284612e+01 2.089358e+02 7.679183e+04
361 1.370610e+01 1.421271e+01 2.805465e+02 1.548658e+05
362 8.652687e+00 1.159455e+01 1.954010e+02 8.392234e+04
363 2.041811e+01 2.047770e+01 4.876515e+02 3.361903e+05
364 -3.361141e+00 1.346739e+01 2.603202e+02 1.485166e+05
365 -2.002614e+00 9.879053e+00 1.386864e+02 4.451850e+04
366 -1.590104e+01 1.595911e+01 3.123406e+02 1.604757e+05
367 -3.568068e+00 1.635663e+01 3.470885e+02 2.061574e+05
