64 10000 64 100000 100000000 0.250000 0.150000 1.145000
n M absM M2 M4
1891 2.284237e+00 8.935180e+00 1.348467e+02 5.380321e+04
1892 -1.188677e+01 1.399628e+01 3.149179e+02 2.557082e+05
1893 4.582289e+00 9.148704e+00 1.289782e+02 4.555265e+04
1894 -3.478611e+00 8.723538e+00 1.207360e+02 4.101946e+04
1895 1.095199e+01 1.199932e+01 1.974572e+02 8.376586e+04
1896 9.197211e+00 1.191070e+01 2.341609e+02 1.683743e+05
1897 -1.083415e+00 1.191256e+01 2.065628e+02 1.045171e+05
1898 -8.718445e+00 1.375906e+01 2.708084e+02 1.675847e+05
1899 -6.376861e+00 1.087039e+01 1.621732e+02 5.276651e+04
1900 1.349389e+01 1.513083e+01 3.186563e+02 2.155963e+05
1901 -5.827666e+00 9.501954e+00 1.265566e+02 3.663794e+04
1902 9.715955e+00 1.042989e+01 1.824257e+02 9.543948e+04
1903 -1.335178e+00 1.054288e+01 1.765426e+02 8.209724e+04
1904 4.403543e+00 1.451506e+01 2.846568e+02 1.459096e+05
1905 -6.618682e+00 8.361534e+00 1.084889e+02 3.366644e+04
1906 5.223904e+00 1.121816e+01 1.954262e+02 9.639920e+04
1907 6.693310e-02 9.604309e+00 1.469694e+02 5.485300e+04
1908 -9.060939e+00 1.180829e+01 1.984977e+02 8.754976e+04
1909 5.822819e+00 1.155932e+01 2.147598e+02 1.305176e+05
1910 -7.050268e+00 1.044253e+01 1.553523e+02 6.208892e+04
1911 -1.079679e+01 1.459079e+01 2.755516e+02 1.384774e+05
1912 -4.338864e+00 1.240578e+01 2.223608e+02 1.412299e+05
1913 1.508895e+01 1.665393e+01 3.784069e+02 2.696082e+05
1914 -3.884008e-01 6.838738e+00 7.204773e+01 1.331299e+04
1915 -6.592492e+00 1.035553e+01 1.835816e+02 1.010089e+05
1916 -2.184989e-01 1.004206e+01 1.547926e+02 6.412891e+04
1917 7.715214e+00 1.248968e+01 2.490058e+02 1.475986e+05
1918 9.193830e+00 1.239145e+01 2.337834e+02 1.434905e+05
1919 1.868201e+00 7.880151e+00 9.208761e+01 2.178331e+04
1920 -4.819709e+00 9.049894e+00 1.406852e+02 6.175453e+04
1921 1.421322e+00 1.309375e+01 2.180643e+02 8.892859e+04
1922 -8.099605e-01 1.211602e+01 2.150512e+02 1.018107e+05
1923 -3.944585e+00 8.805501e+00 1.072738e+02 2.473468e+04
1924 1.338411e+00 6.631392e+00 6.083473e+01 7.818486e+03
1925 3.143604e+00 1.215257e+01 2.476735e+02 2.012864e+05
1926 9.510643e+00 1.006942e+01 1.714345e+02 1.011760e+05
1927 -2.646616e+00 8.894202e+00 1.209352e+02 3.787115e+04
1928 -7.386493e+00 8.344030e+00 1.098464e+02 3.631000e+04
1929 -8.271241e+00 1.631959e+01 3.476468e+02 2.299672e+05
1930 -3.131899e+00 7.849242e+00 9.923093e+01 3.063502e+04
1931 -3.404459e-01 9.271511e+00 1.367568e+02 5.079195e+04
1932 4.702314e+00 8.187610e+00 9.618759e+01 2.226937e+04
1933 -6.355598e+00 9.715272e+00 1.549481e+02 7.529458e+04
1934 -1.802975e+01 1.824632e+01 4.907120e+02 5.327657e+05
1935 1.294128e+01 1.426657e+01 3.623320e+02 4.094337e+05
1936 6.272301e-01 1.410889e+01 3.018827e+02 2.341903e+05
1937 4.592500e+00 1.006360e+01 1.628517e+02 8.298179e+04
1938 7.101137e+00 1.275903e+01 2.645173e+02 1.938364e+05
1939 -7.452675e-01 1.309719e+01 2.148143e+02 7.933110e+04
1940 -7.763336e+00 9.452859e+00 1.501064e+02 6.455267e+04
1941 -5.130923e+00 1.336563e+01 2.537104e+02 1.436984e+05
1942 -1.333652e+01 1.359559e+01 2.261388e+02 7.910235e+04
1943 -8.796828e+00 1.065291e+01 1.439534e+02 3.527210e+04
1944 1.145606e+01 1.310935e+01 2.372002e+02 1.335974e+05
1945 -9.014613e-01 1.927999e+01 4.883862e+02 4.046111e+05
1946 -5.345926e+00 9.572419e+00 1.400282e+02 5.032387e+04
1947 -8.472481e+00 1.297090e+01 2.245595e+02 1.107750e+05
1948 -2.794474e+00 1.373648e+01 2.759877e+02 1.741209e+05
1949 6.374814e+00 1.282351e+01 2.510212e+02 1.546211e+05
1950 -7.027871e+00 1.111321e+01 1.955943e+02 9.743154e+04
1951 6.861264e+00 1.269153e+01 2.162397e+02 1.048621e+05
1952 -5.635092e-01 9.218584e+00 1.347690e+02 5.075450e+04
1953 1.440601e+01 1.453314e+01 3.069963e+02 2.146316e+05
1954 -4.837860e-01 1.430354e+01 2.778519e+02 1.621642e+05
1955 -8.978613e+00 1.259876e+01 2.922311e+02 2.505152e+05
1956 8.857579e+00 1.002233e+01 1.480633e+02 4.704061e+04
1957 -9.865487e+00 1.386872e+01 2.487035e+02 1.113121e+05
1958 7.109788e+00 1.611805e+01 3.264754e+02 1.873055e+05
1959 -1.938137e+00 9.789783e+00 1.424387e+02 4.809688e+04
1960 -1.755791e+01 1.774903e+01 4.214959e+02 3.342701e+05
1961 -2.075270e+01 2.327247e+01 6.275902e+02 5.790542e+05
1962 7.185367e+00 1.666349e+01 3.638117e+02 2.551824e+05
1963 5.307311e+00 8.270997e+00 1.087957e+02 3.252372e+04
1964 1.445698e+01 1.537805e+01 3.537475e+02 2.827394e+05
1965 6.785310e+00 1.014155e+01 1.525849e+02 6.171239e+04
1966 7.739871e+00 1.366554e+01 2.817326e+02 1.994706e+05
1967 -7.660523e+00 1.515526e+01 3.298484e+02 2.549239e+05
1968 -3.491390e+00 9.857942e+00 1.645607e+02 8.230323e+04
1969 6.403203e+00 1.211849e+01 1.957340e+02 7.264351e+04
1970 -1.597736e-02 1.592445e+01 3.511769e+02 2.648369e+05
1971 4.886784e+00 1.782429e+01 4.167455e+02 3.257598e+05
1972 -8.756270e+00 9.385826e+00 1.294745e+02 4.219645e+04
1973 3.500926e+00 1.090272e+01 1.794898e+02 7.929211e+04
1974 1.381713e+01 1.514000e+01 3.027783e+02 1.632328e+05
1975 4.984893e+00 1.447398e+01 2.737941e+02 1.397522e+05
1976 1.874656e+00 8.807821e+00 1.044997e+02 2.145395e+04
1977 8.540684e+00 1.146514e+01 1.748932e+02 6.205409e+04
1978 5.506396e-01 1.027343e+01 1.559962e+02 7.632744e+04
1979 1.277240e+01 1.745647e+01 4.010427e+02 3.300605e+05
1980 1.292274e+01 1.692201e+01 4.092907e+02 3.432632e+05
1981 -1.171690e+01 1.456473e+01 3.141926e+02 2.290841e+05
1982 -1.909461e+00 9.482202e+00 1.253043e+02 3.429853e+04
1983 -2.345124e+00 8.373771e+00 9.737546e+01 2.312570e+04
1984 2.845065e+00 1.252654e+01 2.216196e+02 1.175001e+05
1985 -1.518348e+01 1.746805e+01 3.668494e+02 2.133656e+05
1986 -1.737857e+00 1.255618e+01 2.225663e+02 1.122880e+05
1987 -3.562311e+00 7.840441e+00 1.045033e+02 3.149868e+04
1988 1.233451e+00 6.590220e+00 7.062923e+01 1.407276e+04
1989 8.574846e+00 1.196949e+01 2.128068e+02 1.049249e+05
1990 -1.263095e+01 1.545391e+01 3.452200e+02 2.433164e+05
1991 -2.173864e-01 1.214218e+01 2.080129e+02 9.497817e+04
1992 -9.157537e+00 1.078342e+01 1.772994e+02 8.097393e+04
1993 1.914517e-01 7.623107e+00 8.790955e+01 2.333030e+04
1994 -1.460108e+01 1.661994e+01 3.604486e+02 2.312743e+05
1995 2.614459e+00 9.023567e+00 1.212169e+02 3.503813e+04
1996 -2.197032e+00 1.707968e+01 3.794272e+02 2.601422e+05
1997 -7.859696e-01 6.880746e+00 8.024833e+01 2.119274e+04
1998 6.132012e+00 1.251326e+01 2.218994e+02 1.170759e+05
1999 1.000497e+00 1.141182e+01 2.091560e+02 1.158803e+05
2000 6.572622e+00 1.083924e+01 1.723717e+02 7.151022e+04
2001 -1.569381e+01 1.778017e+01 4.165773e+02 2.910318e+05
2002 -2.010085e+01 2.090608e+01 6.207163e+02 7.737733e+05
2003 2.776308e+00 1.096456e+01 1.713031e+02 6.999777e+04
2004 -4.212594e+00 9.028103e+00 1.326706e+02 5.321642e+04
2005 5.448673e+00 1.286805e+01 2.284915e+02 1.027574e+05
2006 -2.399824e+00 1.070005e+01 1.494599e+02 3.989058e+04
2007 -7.402244e+00 1.530661e+01 3.201996e+02 1.882211e+05
2008 2.775034e+00 1.289895e+01 2.340980e+02 1.215560e+05
2009 3.718933e+00 1.347155e+01 2.679038e+02 1.560791e+05
2010 3.572663e+00 1.181338e+01 1.891629e+02 7.358171e+04
2011 8.166232e+00 1.046055e+01 1.762174e+02 9.419340e+04
2012 1.572206e+00 9.593353e+00 1.763459e+02 1.434576e+05
2013 8.742089e+00 1.193010e+01 2.181511e+02 1.273441e+05
2014 2.374859e+00 7.473529e+00 1.000323e+02 3.480411e+04
2015 1.017724e+00 9.290093e+00 1.350232e+02 4.829735e+04
2016 -4.515535e+00 1.640653e+01 3.246666e+02 1.646258e+05
2017 -2.984745e+00 1.555195e+01 3.215091e+02 1.888943e+05
2018 -1.425760e+00 7.977627e+00 8.792865e+01 1.630968e+04
2019 -8.396275e+00 1.196059e+01 2.081234e+02 9.631480e+04
2020 1.652887e+01 1.678807e+01 3.397341e+02 1.813273e+05
2021 1.184017e+01 1.261054e+01 2.066913e+02 8.034353e+04
2022 -1.228040e+00 9.939990e+00 1.486288e+02 5.156095e+04
2023 8.957242e+00 1.026510e+01 1.899496e+02 1.131131e+05
2024 7.218513e+00 1.136913e+01 1.971314e+02 1.055107e+05
2025 5.787067e+00 1.582094e+01 3.425340e+02 2.480616e+05
2026 2.550521e+00 8.930986e+00 1.322317e+02 5.562765e+04
2027 3.925624e+00 7.708563e+00 9.298073e+01 2.240158e+04
2028 9.384395e+00 1.534321e+01 3.189802e+02 2.037771e+05
2029 -6.074641e+00 8.555368e+00 1.130391e+02 3.304564e+04
2030 1.009788e+00 7.578460e+00 9.117922e+01 2.393960e+04
2031 -5.369107e+00 1.437848e+01 2.788915e+02 1.607125e+05
2032 1.552679e+01 1.601211e+01 3.562673e+02 2.590285e+05
2033 -5.758521e-01 9.367255e+00 1.264344e+02 3.285565e+04
2034 -2.811174e-01 7.969167e+00 9.618593e+01 2.069913e+04
2035 4.519564e+00 1.098842e+01 1.766202e+02 7.191819e+04
2036 6.333234e+00 1.408781e+01 2.866686e+02 1.680575e+05
2037 -8.370375e+00 1.118233e+01 1.896281e+02 9.382555e+04
2038 3.251880e-01 7.518478e+00 8.634345e+01 1.919028e+04
2039 3.299762e+00 6.759794e+00 7.258987e+01 1.455203e+04
2040 4.267313e+00 8.566272e+00 1.065688e+02 2.714022e+04
2041 -1.116992e+01 1.398156e+01 3.205720e+02 2.832893e+05
2042 -7.453849e+00 1.369726e+01 2.517478e+02 1.256264e+05
2043 -1.169783e+01 1.539550e+01 3.131487e+02 1.837575e+05
2044 1.067994e+01 1.683738e+01 3.877042e+02 2.752130e+05
2045 1.033339e+01 1.116008e+01 1.701844e+02 5.421158e+04
2046 1.035833e+00 8.665003e+00 1.108750e+02 3.006533e+04
2047 3.968207e+00 1.154050e+01 1.977526e+02 9.937688e+04
2048 -8.762354e+00 1.196577e+01 2.328440e+02 1.563424e+05
2049 -2.131240e+00 1.224285e+01 2.111535e+02 8.767871e+04
2050 -2.863030e+00 8.326773e+00 1.090439e+02 3.101516e+04
2051 -6.175332e+00 1.071925e+01 1.707386e+02 7.836615e+04
2052 9.309521e+00 1.155069e+01 2.612369e+02 2.403729e+05
2053 -8.201951e-01 1.103543e+01 1.663780e+02 5.263827e+04
2054 -6.670821e+00 1.101388e+01 1.678310e+02 6.683786e+04
2055 -1.303942e+01 1.331883e+01 2.626762e+02 1.820584e+05
2056 1.593614e+01 1.858192e+01 4.204769e+02 3.251625e+05
2057 -7.698659e+00 1.853078e+01 4.324383e+02 3.392451e+05
2058 1.133774e+01 1.354003e+01 2.517259e+02 1.340509e+05
2059 9.371061e-01 1.042268e+01 1.657811e+02 6.694542e+04
2060 -2.076450e+00 8.943963e+00 1.287829e+02 4.736669e+04
2061 -7.217390e+00 9.312632e+00 1.208887e+02 3.066018e+04
2062 1.096721e+01 1.215915e+01 2.174591e+02 1.127899e+05
2063 2.010509e+01 2.096104e+01 5.468727e+02 5.076144e+05
2064 3.399350e+00 1.048571e+01 1.589586e+02 5.682840e+04
2065 1.061878e+01 1.113608e+01 1.809263e+02 7.449746e+04
2066 -2.576567e+00 6.872028e+00 7.176847e+01 1.423839e+04
2067 6.260750e-01 8.311229e+00 1.023845e+02 2.877406e+04
2068 -5.440958e+00 9.219942e+00 1.237798e+02 3.506691e+04
2069 -4.422050e+00 9.262316e+00 1.239950e+02 4.262453e+04
2070 -5.110107e+00 7.684541e+00 1.137435e+02 5.422909e+04
2071 2.838816e+00 1.075656e+01 2.046016e+02 1.767868e+05
2072 1.506118e+01 1.691413e+01 3.808847e+02 2.785570e+05
2073 -5.194141e+00 1.169109e+01 2.074334e+02 1.157622e+05
2074 4.319542e+00 1.619407e+01 3.350735e+02 2.000670e+05
2075 2.133596e+01 2.133596e+01 4.958291e+02 3.170315e+05
2076 1.573844e+01 2.034740e+01 5.013635e+02 3.898974e+05
2077 -3.789091e+00 9.499257e+00 1.373213e+02 5.002647e+04
2078 1.453991e+01 1.870681e+01 5.022232e+02 5.066867e+05
2079 1.899585e+00 1.499796e+01 3.201566e+02 2.169566e+05
2080 -1.600849e+00 1.438736e+01 2.788534e+02 1.581280e+05
2081 -3.376934e+00 1.067991e+01 1.708196e+02 7.338326e+04
2082 3.439173e+00 8.335434e+00 1.057922e+02 3.102621e+04
2083 1.649732e+00 6.659670e+00 6.684267e+01 1.245963e+04
2084 6.105153e+00 8.660556e+00 1.106800e+02 3.130934e+04
2085 -3.277551e+00 1.358298e+01 2.549420e+02 1.339584e+05
2086 1.308264e+01 1.454241e+01 2.682952e+02 1.277506e+05
2087 8.734300e+00 1.397698e+01 2.740741e+02 1.652540e+05
2088 8.233620e+00 1.285847e+01 2.141292e+02 8.139108e+04
2089 5.665989e+00 9.406374e+00 1.691838e+02 1.043920e+05
2090 -1.182290e+00 1.267668e+01 2.239756e+02 1.005109e+05
2091 -3.744935e-01 1.043502e+01 1.557469e+02 6.133692e+04
2092 -4.431125e-01 1.076298e+01 1.708268e+02 7.158564e+04
2093 -5.528436e+00 7.485379e+00 9.456040e+01 2.972539e+04
2094 3.461051e+00 9.151157e+00 1.218490e+02 3.531740e+04
2095 -2.408378e-01 1.048873e+01 1.515315e+02 4.639266e+04
2096 -8.247408e+00 1.491333e+01 3.434374e+02 2.893227e+05
2097 -6.688271e+00 1.799217e+01 4.427678e+02 3.856091e+05
2098 -5.374995e+00 1.020601e+01 1.736948e+02 8.517493e+04
2099 -1.322508e+00 9.661305e+00 1.522798e+02 6.879036e+04
2100 3.511527e+00 9.195764e+00 1.311434e+02 4.472064e+04
2101 3.017302e+00 9.707833e+00 1.321745e+02 3.868957e+04
2102 9.411042e+00 1.558222e+01 3.086674e+02 1.676153e+05
2103 3.197624e+00 1.288734e+01 2.253098e+02 1.006888e+05
2104 -9.482747e+00 1.537909e+01 3.028848e+02 1.589423e+05
2105 8.979771e+00 1.213185e+01 2.190772e+02 1.134732e+05
2106 1.792351e+01 1.799335e+01 4.226489e+02 3.407971e+05
2107 -9.137978e-01 1.067913e+01 1.713077e+02 6.676111e+04
2108 7.678421e+00 8.391425e+00 1.009905e+02 2.288547e+04
2109 -1.727496e+01 1.775861e+01 3.875516e+02 2.549524e+05
2110 1.148397e-01 9.075365e+00 1.315495e+02 4.716382e+04
2111 1.869230e+00 8.135079e+00 9.570989e+01 1.950367e+04
2112 2.061173e+00 1.033564e+01 1.475997e+02 4.454599e+04
2113 -2.512185e+01 2.512185e+01 6.986838e+02 6.485486e+05
2114 1.625697e+00 7.929789e+00 8.897242e+01 1.658999e+04
2115 -2.825566e+00 1.033370e+01 1.428099e+02 4.084297e+04
2116 8.455122e+00 9.952367e+00 1.380299e+02 3.965308e+04
2117 5.990269e+00 9.134267e+00 1.657772e+02 1.083166e+05
2118 -1.060810e+01 1.395238e+01 2.870982e+02 2.008920e+05
2119 -1.759987e+00 1.098274e+01 1.888051e+02 9.190129e+04
2120 6.471515e+00 1.138494e+01 1.974167e+02 9.100429e+04
2121 -1.379331e+00 9.883940e+00 1.430335e+02 5.403309e+04
2122 -8.031537e-01 1.113324e+01 1.877778e+02 8.060547e+04
2123 8.732449e+00 1.186512e+01 2.260823e+02 1.308392e+05
2124 -1.463500e+01 1.972536e+01 5.378567e+02 5.558625e+05
2125 7.102366e+00 1.969479e+01 5.343464e+02 5.528730e+05
2126 8.176316e+00 1.129434e+01 1.755933e+02 6.106934e+04
2127 9.577096e+00 1.610857e+01 3.560140e+02 2.392139e+05
2128 -5.272075e+00 1.585987e+01 3.763584e+02 3.043852e+05
2129 -2.052876e+01 2.055336e+01 5.007670e+02 3.729768e+05
2130 -3.191928e+00 8.773910e+00 1.207600e+02 3.662595e+04
2131 -2.370988e-01 1.158896e+01 1.952362e+02 8.166683e+04
2132 2.617248e+00 1.103864e+01 1.711721e+02 5.956101e+04
2133 2.467574e-01 1.233335e+01 2.214170e+02 1.111013e+05
2134 1.946700e+00 1.713541e+01 3.883009e+02 2.707801e+05
2135 1.278355e+01 1.344043e+01 2.485499e+02 1.264792e+05
2136 3.577000e+00 1.254529e+01 2.435745e+02 1.496721e+05
2137 -4.284955e+00 9.765626e+00 1.329600e+02 3.844141e+04
2138 7.648332e+00 1.086944e+01 2.022272e+02 1.264402e+05
2139 -1.459763e+01 1.539723e+01 3.215908e+02 1.946608e+05
2140 -5.847821e+00 1.035386e+01 1.667756e+02 7.638851e+04
2141 1.377669e+00 8.992843e+00 1.129067e+02 2.727024e+04
2142 -4.400199e+00 1.043029e+01 1.684790e+02 7.551130e+04
2143 -1.139023e+01 1.334423e+01 2.734547e+02 1.942986e+05
2144 -7.701849e+00 1.346309e+01 2.985933e+02 2.340590e+05
2145 -1.122584e+01 1.280248e+01 2.416549e+02 1.334513e+05
2146 1.676713e+00 7.723582e+00 9.172912e+01 2.252148e+04
2147 1.871327e+01 1.891689e+01 4.237841e+02 2.805117e+05
2148 -6.301396e+00 1.299399e+01 2.274172e+02 1.071611e+05
2149 3.625944e+00 1.222547e+01 2.113051e+02 1.038604e+05
2150 8.715970e+00 1.214524e+01 2.452103e+02 1.692897e+05
2151 -3.248582e+00 1.123817e+01 1.968779e+02 1.054420e+05
2152 1.260130e+01 1.287866e+01 2.447838e+02 1.664054e+05
2153 7.146275e+00 1.620666e+01 3.278792e+02 1.875005e+05
2154 -9.423452e+00 1.321252e+01 2.474620e+02 1.390889e+05
2155 1.557616e+00 1.166250e+01 1.658952e+02 4.491334e+04
2156 7.628825e+00 1.580533e+01 3.394075e+02 2.218009e+05
2157 1.531988e+00 7.741888e+00 9.146788e+01 2.138281e+04
2158 1.043482e+01 1.140948e+01 2.031154e+02 1.100941e+05
2159 -6.161720e+00 1.112169e+01 1.703138e+02 5.796806e+04
2160 9.929468e+00 1.194317e+01 1.762765e+02 5.045680e+04
2161 3.722242e+00 1.117047e+01 1.703213e+02 5.948253e+04
2162 -3.721915e+00 8.826753e+00 1.159878e+02 4.016141e+04
2163 1.276840e+01 1.466002e+01 3.248605e+02 2.339390e+05
2164 8.787386e+00 1.483078e+01 3.149037e+02 2.231324e+05
2165 1.641577e+01 1.641702e+01 3.380742e+02 2.031179e+05
2166 3.540236e+00 7.529747e+00 9.234294e+01 2.473609e+04
2167 2.571924e+00 1.196023e+01 2.188948e+02 1.314235e+05
2168 -2.092595e+01 2.116874e+01 5.694549e+02 5.453562e+05
2169 -3.240613e-01 9.516348e+00 1.287369e+02 3.913423e+04
2170 4.845766e+00 8.421261e+00 1.176322e+02 4.197582e+04
2171 1.279204e+01 1.384690e+01 2.387966e+02 9.726755e+04
2172 1.255222e+01 1.791221e+01 3.774926e+02 2.118327e+05
2173 1.593686e+01 1.603885e+01 3.447935e+02 2.195279e+05
2174 -1.818225e+00 8.192168e+00 1.095425e+02 3.813816e+04
2175 -2.194681e+00 7.224828e+00 8.741374e+01 2.487619e+04
2176 -8.306026e+00 1.034202e+01 1.642852e+02 7.880487e+04
2177 7.227691e+00 1.099319e+01 2.162703e+02 1.394142e+05
2178 -1.649857e+01 1.653786e+01 3.970733e+02 3.735943e+05
2179 -1.656553e+01 1.744120e+01 4.584143e+02 4.823708e+05
2180 1.337780e+01 1.673984e+01 3.589046e+02 2.331907e+05
2181 1.290802e+01 1.432709e+01 2.796209e+02 1.508595e+05
2182 1.791191e+00 8.875556e+00 1.155197e+02 3.192646e+04
2183 -5.952845e+00 1.330272e+01 2.261566e+02 9.034452e+04
2184 7.614144e+00 1.767772e+01 3.703161e+02 2.114329e+05
2185 3.763922e+00 7.863495e+00 1.082396e+02 4.033289e+04
2186 -1.257333e+01 1.657300e+01 3.911302e+02 3.082899e+05
2187 -5.641045e+00 1.622055e+01 3.521568e+02 2.769170e+05
2188 4.063356e-01 9.028521e+00 1.122464e+02 2.596395e+04
2189 8.398962e+00 1.179469e+01 1.842079e+02 6.865831e+04
2190 6.137700e+00 1.014075e+01 1.592142e+02 6.954058e+04
2191 -3.966027e+00 9.865902e+00 1.640492e+02 8.056288e+04
2192 -2.358884e+01 2.359037e+01 6.380052e+02 5.989552e+05
2193 -7.342157e+00 9.307929e+00 1.342222e+02 4.631812e+04
2194 -1.490593e+00 6.626149e+00 6.899245e+01 1.682299e+04
2195 -6.004851e+00 1.017927e+01 1.805067e+02 9.594950e+04
2196 4.864327e+00 1.530206e+01 3.165969e+02 1.823113e+05
2197 5.647163e+00 1.149593e+01 2.297876e+02 1.494044e+05
2198 -1.480328e+00 7.821754e+00 9.310016e+01 2.407734e+04
2199 1.175561e+00 8.322278e+00 1.004816e+02 2.373210e+04
2200 -8.786060e+00 1.289571e+01 2.250806e+02 9.449571e+04
2201 -1.840370e+01 1.843157e+01 4.025387e+02 2.594469e+05
2202 -1.421975e+01 1.660930e+01 3.856945e+02 3.077944e+05
2203 -1.187892e+01 1.442929e+01 2.956254e+02 1.873509e+05
2204 -9.439502e-01 7.131915e+00 7.606673e+01 1.463085e+04
2205 4.245880e+00 9.842687e+00 1.466880e+02 5.850213e+04
2206 2.336348e+00 1.487643e+01 3.358355e+02 3.041269e+05
2207 -5.030740e+00 1.176351e+01 2.013777e+02 8.673157e+04
2208 1.193609e+00 6.187065e+00 5.950462e+01 1.018297e+04
2209 1.449973e+01 1.580501e+01 3.503908e+02 3.040495e+05
2210 1.254849e+01 1.298845e+01 2.302688e+02 1.128085e+05
2211 1.491148e+01 1.564456e+01 3.004876e+02 1.497850e+05
2212 1.752696e-01 9.413402e+00 1.223893e+02 3.499902e+04
2213 -2.096200e+00 9.511850e+00 1.305620e+02 4.123804e+04
2214 4.135910e+00 6.916865e+00 7.482750e+01 1.580219e+04
2215 7.118719e+00 1.212277e+01 2.362405e+02 1.505101e+05
2216 -2.203306e-01 1.004230e+01 1.421731e+02 4.625553e+04
2217 8.352037e+00 1.441942e+01 2.745943e+02 1.455022e+05
2218 -6.560911e+00 1.067849e+01 1.927179e+02 1.121840e+05
2219 -8.380172e+00 9.778211e+00 1.352971e+02 4.270862e+04
2220 -7.476737e+00 1.302786e+01 2.606001e+02 1.669153e+05
2221 -6.808318e+00 9.760298e+00 1.607913e+02 9.426263e+04
2222 3.146108e+00 1.779020e+01 3.916743e+02 2.866476e+05
2223 1.350834e+00 9.916834e+00 1.433295e+02 4.866515e+04
2224 9.104950e+00 1.103481e+01 1.661009e+02 5.488799e+04
2225 6.723978e+00 1.131767e+01 1.762535e+02 6.557336e+04
2226 -8.629009e+00 1.168118e+01 1.904063e+02 7.499479e+04
2227 1.200365e+00 9.629530e+00 1.502628e+02 6.530023e+04
2228 1.224224e+01 1.299573e+01 2.239982e+02 9.707216e+04
2229 1.821527e+00 1.170038e+01 1.831402e+02 6.548891e+04
2230 -1.123216e+01 1.241868e+01 2.325559e+02 1.382360e+05
2231 -1.101745e+01 1.328097e+01 2.655503e+02 1.699425e+05
2232 -1.062653e+01 1.225468e+01 2.372427e+02 1.390458e+05
2233 -4.345694e+00 1.052985e+01 1.633589e+02 6.638748e+04
2234 -4.010057e-01 1.118513e+01 1.579198e+02 4.301515e+04
2235 -1.032337e+01 1.099126e+01 1.656707e+02 5.340102e+04
2236 -1.494891e+01 1.559051e+01 2.936761e+02 1.359744e+05
2237 -5.603077e+00 7.822416e+00 8.905998e+01 1.787762e+04
2238 -1.235577e+01 1.312154e+01 2.490609e+02 1.348412e+05
2239 -1.120829e+01 1.146976e+01 2.010311e+02 9.981056e+04
2240 1.115860e+00 9.650450e+00 1.314704e+02 3.644504e+04
2241 -1.904777e+01 1.911568e+01 4.437406e+02 3.569863e+05
2242 -8.351040e+00 1.607672e+01 3.978224e+02 3.505953e+05
2243 9.696437e+00 1.551174e+01 3.901057e+02 4.036409e+05
2244 6.338697e+00 1.447959e+01 2.725151e+02 1.362152e+05
2245 4.433450e+00 1.037894e+01 1.637955e+02 6.931743e+04
2246 9.808651e-01 7.853912e+00 9.674186e+01 2.607863e+04
2247 -5.156759e+00 1.086234e+01 1.801679e+02 8.776004e+04
2248 6.616945e+00 1.105753e+01 1.634454e+02 5.307031e+04
2249 9.861120e+00 1.162428e+01 2.013132e+02 9.757216e+04
2250 4.525249e+00 9.303864e+00 1.443922e+02 6.338840e+04
2251 3.308159e+00 1.054408e+01 1.456038e+02 4.009305e+04
2252 -7.659317e+00 1.430247e+01 2.854163e+02 1.606555e+05
2253 -8.464402e+00 1.362159e+01 2.525270e+02 1.214898e+05
2254 -1.344202e+01 1.543146e+01 3.952180e+02 3.874693e+05
2255 8.536309e+00 1.506912e+01 2.978195e+02 1.702909e+05
2256 1.370846e+01 1.393532e+01 2.573401e+02 1.439825e+05
2257 -4.393589e+00 1.055857e+01 1.629186e+02 6.888975e+04
2258 1.806184e+00 1.067151e+01 1.925283e+02 1.224764e+05
2259 -8.800504e+00 9.461726e+00 1.280653e+02 3.877822e+04
2260 -3.603441e+00 1.160535e+01 1.827904e+02 7.058402e+04
2261 -6.675601e+00 1.284231e+01 2.224802e+02 1.024787e+05
2262 5.212319e-01 9.675634e+00 1.527440e+02 6.675226e+04
2263 -1.551213e+00 1.169551e+01 2.158881e+02 1.126172e+05
2264 -4.243488e+00 1.703495e+01 3.968336e+02 2.908163e+05
2265 -3.883529e+00 1.258028e+01 2.172363e+02 1.019315e+05
2266 -1.213191e+01 1.655580e+01 4.238916e+02 4.445470e+05
2267 -3.991756e+00 1.111728e+01 1.663043e+02 5.214411e+04
2268 -2.478238e+00 1.489728e+01 3.267229e+02 2.341010e+05
2269 -9.569868e+00 1.043631e+01 1.651298e+02 6.978991e+04
2270 7.037624e+00 1.135302e+01 2.177377e+02 1.848027e+05
2271 1.170016e+01 1.394470e+01 3.324528e+02 2.881573e+05
2272 -1.120124e+01 1.352465e+01 3.224568e+02 3.547790e+05
2273 -1.629418e+01 1.678150e+01 3.848961e+02 3.040896e+05
2274 -5.570208e+00 8.225103e+00 1.001673e+02 2.485071e+04
2275 -1.125166e+01 1.208499e+01 1.825094e+02 5.821057e+04
2276 -4.103476e+00 7.829090e+00 9.273047e+01 2.098675e+04
2277 -6.387648e+00 9.539253e+00 1.285669e+02 3.737948e+04
2278 3.334953e-01 1.142712e+01 2.164282e+02 1.248419e+05
2279 -2.533793e+00 9.650819e+00 1.551082e+02 7.463314e+04
2280 6.515298e+00 1.120549e+01 1.909650e+02 9.136900e+04
2281 -5.823104e+00 1.096842e+01 1.765555e+02 6.892566e+04
2282 -5.357492e+00 1.356829e+01 2.753308e+02 1.944806e+05
2283 -1.028866e+00 8.752101e+00 1.086755e+02 2.572930e+04
