D,L,kappa,lambda,min_nstep,max_nstep,d_nstep,tlength,ntherm,ntraj,naccu
3,4,1.500000e-01,1.145000e+00,10,50,2,1.000000e+00,1000,10000,100

dtau,dtau2,deltaH
2.083333e-02,4.340278e-04,4.548033e-03
2.083333e-02,4.340278e-04,4.404501e-03
2.083333e-02,4.340278e-04,4.246698e-03
2.083333e-02,4.340278e-04,5.102986e-03
2.083333e-02,4.340278e-04,4.686915e-03
2.083333e-02,4.340278e-04,4.590932e-03
2.083333e-02,4.340278e-04,5.131643e-03
2.083333e-02,4.340278e-04,4.687336e-03
2.083333e-02,4.340278e-04,4.765490e-03
2.083333e-02,4.340278e-04,3.894956e-03
2.083333e-02,4.340278e-04,5.157052e-03
2.083333e-02,4.340278e-04,5.088140e-03
2.083333e-02,4.340278e-04,5.108704e-03
2.083333e-02,4.340278e-04,4.822094e-03
2.083333e-02,4.340278e-04,4.292454e-03
2.083333e-02,4.340278e-04,5.181583e-03
2.083333e-02,4.340278e-04,5.072497e-03
2.083333e-02,4.340278e-04,4.152679e-03
2.083333e-02,4.340278e-04,4.797908e-03
2.083333e-02,4.340278e-04,5.564333e-03
2.083333e-02,4.340278e-04,4.541711e-03
2.083333e-02,4.340278e-04,4.640817e-03
2.083333e-02,4.340278e-04,3.964138e-03
2.083333e-02,4.340278e-04,4.917474e-03
2.083333e-02,4.340278e-04,4.236312e-03
2.083333e-02,4.340278e-04,5.574641e-03
2.083333e-02,4.340278e-04,4.179046e-03
2.083333e-02,4.340278e-04,5.009809e-03
2.083333e-02,4.340278e-04,5.025721e-03
2.083333e-02,4.340278e-04,4.466535e-03
2.083333e-02,4.340278e-04,4.737913e-03
2.083333e-02,4.340278e-04,5.376860e-03
2.083333e-02,4.340278e-04,5.434070e-03
2.083333e-02,4.340278e-04,4.876568e-03
2.083333e-02,4.340278e-04,4.658711e-03
2.083333e-02,4.340278e-04,3.991489e-03
2.083333e-02,4.340278e-04,4.950291e-03
2.083333e-02,4.340278e-04,4.997627e-03
2.083333e-02,4.340278e-04,4.988336e-03
2.083333e-02,4.340278e-04,4.582643e-03
2.083333e-02,4.340278e-04,4.633165e-03
2.083333e-02,4.340278e-04,4.889410e-03
2.083333e-02,4.340278e-04,4.481911e-03
2.083333e-02,4.340278e-04,5.104202e-03
2.083333e-02,4.340278e-04,4.980555e-03
2.083333e-02,4.340278e-04,4.158585e-03
2.083333e-02,4.340278e-04,4.151626e-03
2.083333e-02,4.340278e-04,4.892420e-03
2.083333e-02,4.340278e-04,4.554400e-03
2.083333e-02,4.340278e-04,4.849560e-03
2.083333e-02,4.340278e-04,5.313283e-03
2.083333e-02,4.340278e-04,4.554554e-03
2.083333e-02,4.340278e-04,4.487786e-03
2.083333e-02,4.340278e-04,5.333904e-03
2.083333e-02,4.340278e-04,5.084422e-03
2.083333e-02,4.340278e-04,5.147875e-03
2.083333e-02,4.340278e-04,4.642914e-03
2.083333e-02,4.340278e-04,4.543963e-03
2.083333e-02,4.340278e-04,4.806086e-03
2.083333e-02,4.340278e-04,4.929419e-03
2.083333e-02,4.340278e-04,4.969931e-03
2.083333e-02,4.340278e-04,4.716308e-03
2.083333e-02,4.340278e-04,5.843429e-03
2.083333e-02,4.340278e-04,4.813843e-03
2.083333e-02,4.340278e-04,4.465712e-03
2.083333e-02,4.340278e-04,4.746081e-03
2.083333e-02,4.340278e-04,4.731035e-03
2.083333e-02,4.340278e-04,5.311069e-03
2.083333e-02,4.340278e-04,4.437732e-03
2.083333e-02,4.340278e-04,4.613974e-03
2.083333e-02,4.340278e-04,4.279971e-03
2.173913e-02,4.725898e-04,4.947358e-03
2.173913e-02,4.725898e-04,4.823457e-03
2.173913e-02,4.725898e-04,5.411126e-03
2.173913e-02,4.725898e-04,5.556296e-03
2.173913e-02,4.725898e-04,5.739249e-03
2.173913e-02,4.725898e-04,5.611980e-03
2.173913e-02,4.725898e-04,5.474617e-03
2.173913e-02,4.725898e-04,4.501212e-03
2.173913e-02,4.725898e-04,4.398782e-03
2.173913e-02,4.725898e-04,4.751901e-03
2.173913e-02,4.725898e-04,4.679575e-03
2.173913e-02,4.725898e-04,5.753854e-03
2.173913e-02,4.725898e-04,5.572304e-03
2.173913e-02,4.725898e-04,5.261551e-03
2.173913e-02,4.725898e-04,4.993591e-03
2.173913e-02,4.725898e-04,4.621288e-03
2.173913e-02,4.725898e-04,4.421834e-03
2.173913e-02,4.725898e-04,5.355644e-03
2.173913e-02,4.725898e-04,4.548626e-03
2.173913e-02,4.725898e-04,4.932936e-03
2.173913e-02,4.725898e-04,5.240742e-03
2.173913e-02,4.725898e-04,4.881229e-03
2.173913e-02,4.725898e-04,5.026581e-03
2.173913e-02,4.725898e-04,4.563389e-03
2.173913e-02,4.725898e-04,4.332277e-03
2.173913e-02,4.725898e-04,4.781393e-03
2.173913e-02,4.725898e-04,4.959268e-03
