D,L,kappa,lambda,min_nstep,max_nstep,d_nstep,tlength,ntherm,ntraj,naccu
3,4,1.816900e-01,1.328200e+00,5,50,5,1.000000e+00,5000,100000,1000

dtau,dtau2,m2
2.222222e-02,4.938272e-04,1.432267e+01
2.222222e-02,4.938272e-04,1.324328e+01
2.222222e-02,4.938272e-04,9.968324e+00
2.222222e-02,4.938272e-04,1.630147e+01
2.222222e-02,4.938272e-04,1.343888e+01
2.222222e-02,4.938272e-04,1.575536e+01
2.222222e-02,4.938272e-04,9.595480e+00
2.222222e-02,4.938272e-04,1.442148e+01
2.222222e-02,4.938272e-04,1.440232e+01
2.222222e-02,4.938272e-04,1.663305e+01
2.222222e-02,4.938272e-04,1.502167e+01
2.222222e-02,4.938272e-04,1.429955e+01
2.222222e-02,4.938272e-04,1.751168e+01
2.222222e-02,4.938272e-04,1.599539e+01
2.222222e-02,4.938272e-04,1.716050e+01
2.222222e-02,4.938272e-04,1.356694e+01
2.222222e-02,4.938272e-04,1.013668e+01
2.222222e-02,4.938272e-04,1.525839e+01
2.222222e-02,4.938272e-04,1.570743e+01
2.222222e-02,4.938272e-04,1.395728e+01
2.222222e-02,4.938272e-04,1.696063e+01
2.222222e-02,4.938272e-04,1.490469e+01
2.222222e-02,4.938272e-04,1.581354e+01
2.222222e-02,4.938272e-04,1.528767e+01
2.222222e-02,4.938272e-04,1.437195e+01
2.222222e-02,4.938272e-04,1.390144e+01
2.222222e-02,4.938272e-04,1.510558e+01
2.222222e-02,4.938272e-04,1.509033e+01
2.222222e-02,4.938272e-04,1.378889e+01
2.222222e-02,4.938272e-04,1.609239e+01
2.222222e-02,4.938272e-04,1.321718e+01
2.222222e-02,4.938272e-04,1.181218e+01
2.222222e-02,4.938272e-04,1.619111e+01
2.222222e-02,4.938272e-04,1.377783e+01
2.222222e-02,4.938272e-04,1.146914e+01
2.222222e-02,4.938272e-04,1.452027e+01
2.222222e-02,4.938272e-04,1.654361e+01
2.222222e-02,4.938272e-04,1.540870e+01
2.222222e-02,4.938272e-04,1.378776e+01
2.222222e-02,4.938272e-04,1.291512e+01
2.222222e-02,4.938272e-04,1.356067e+01
2.222222e-02,4.938272e-04,1.473426e+01
2.222222e-02,4.938272e-04,1.531373e+01
2.222222e-02,4.938272e-04,1.503366e+01
2.222222e-02,4.938272e-04,1.600582e+01
2.222222e-02,4.938272e-04,1.678063e+01
2.222222e-02,4.938272e-04,1.351642e+01
2.222222e-02,4.938272e-04,1.150883e+01
2.222222e-02,4.938272e-04,1.435373e+01
2.222222e-02,4.938272e-04,1.183756e+01
2.222222e-02,4.938272e-04,1.468864e+01
2.222222e-02,4.938272e-04,1.725534e+01
2.222222e-02,4.938272e-04,1.021934e+01
2.222222e-02,4.938272e-04,1.555462e+01
2.222222e-02,4.938272e-04,1.208090e+01
2.222222e-02,4.938272e-04,1.467398e+01
2.222222e-02,4.938272e-04,1.508077e+01
2.222222e-02,4.938272e-04,1.780889e+01
2.222222e-02,4.938272e-04,1.454326e+01
